StudyDay,ParticipantIdentifier,SR_affect_neg_angry,SR_affect_neg_angry_am,SR_affect_neg_ashamed,SR_affect_neg_ashamed_am,SR_affect_neg_bored,SR_affect_neg_bored_am,SR_affect_neg_depressed,SR_affect_neg_depressed_am,SR_affect_neg_embarrassed,SR_affect_neg_embarrassed_am,SR_affect_neg_frustrated,SR_affect_neg_frustrated_am,SR_affect_neg_guilty,SR_affect_neg_guilty_am,SR_affect_neg_lazy,SR_affect_neg_lazy_am,SR_affect_neg_lonelyIsolated,SR_affect_neg_lonelyIsolated_am,SR_affect_neg_nervousAnxious,SR_affect_neg_nervousAnxious_am,SR_affect_neg_sad,SR_affect_neg_sad_am,SR_affect_neg_stressed,SR_affect_neg_stressed_am,SR_affect_pos_amused,SR_affect_pos_amused_am,SR_affect_pos_appreciated,SR_affect_pos_appreciated_am,SR_affect_pos_excited,SR_affect_pos_excited_am,SR_affect_pos_focused,SR_affect_pos_focused_am,SR_affect_pos_happy,SR_affect_pos_happy_am,SR_affect_pos_hopeful,SR_affect_pos_hopeful_am,SR_affect_pos_motivated,SR_affect_pos_motivated_am,SR_affect_pos_relaxedCalm,SR_affect_pos_relaxedCalm_am,drinks_gap,exercise_gap,leisureNonSolo_gap,leisureSolo_gap,nonoccupation_gap,occupation_gap,sleep_gap,socialMedia_gap
2022-09-30,5e509967-0d3b-4fe1-a275-231ba42473d5,1.0,,1.0,,3.0,,1.0,,1.0,,4.0,,1.0,,2.0,,1.0,,2.0,,1.0,,3.0,,2.0,,1.0,,2.0,,4.0,,2.0,,1.0,,3.0,,2.0,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2022-09-30,64755242-4b1b-4ed6-86d3-4f48d695beab,1.0,1.0,2.0,2.0,3.0,3.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,3.0,3.0,2.0,2.0,2.0,2.0,1.0,1.0,3.0,3.0,4.0,4.0,4.0,4.0,3.0,4.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2022-09-30,6b0c7ed3-b1ae-47b4-8034-c3c40dd5b29b,4.0,1.0,5.0,1.0,4.0,1.0,4.0,1.0,4.0,2.0,1.0,1.0,4.0,1.0,4.0,1.0,4.0,1.0,4.0,1.0,4.0,1.0,4.0,3.0,4.0,3.0,4.0,3.0,4.0,2.0,4.0,3.0,4.0,3.0,4.0,3.0,4.0,3.0,4.0,3.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2022-09-30,6b827de8-fe47-4007-aad3-202655b954e3,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,2.0,1.0,1.0,3.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,4.0,3.0,4.0,3.0,3.0,4.0,4.0,3.0,3.0,3.0,3.0,4.0,4.0,3.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2022-09-30,6c1b2b3c-3c06-4238-830d-65b76904e8b5,4.0,,3.0,,1.0,,4.0,,1.0,,5.0,,1.0,,2.0,,4.0,,4.0,,4.0,,5.0,,3.0,,1.0,,2.0,,4.0,,3.0,,2.0,,5.0,,3.0,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2022-09-30,6d9ce034-4fcd-407e-9e35-9dd9caafe1fe,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,1.0,1.0,3.0,3.0,2.0,1.0,4.0,3.0,1.0,1.0,2.0,2.0,1.0,1.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,4.0,3.0,4.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2022-09-30,6e86c427-c679-4acd-aeb4-19ada9022b66,1.0,,1.0,,2.0,,1.0,,1.0,,1.0,,2.0,,3.0,,1.0,,2.0,,1.0,,2.0,,3.0,,4.0,,4.0,,1.0,,5.0,,2.0,,3.0,,4.0,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2022-09-30,7272fab8-c4e7-45bb-ba42-e9f6a06801c0,3.0,,1.0,,3.0,,5.0,,1.0,,3.0,,1.0,,5.0,,3.0,,4.0,,4.0,,5.0,,1.0,,1.0,,3.0,,1.0,,2.0,,2.0,,2.0,,2.0,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2022-09-30,74b5736e-0605-4d41-a046-7fcb7c59e816,1.0,,4.0,,2.0,,1.0,,2.0,,5.0,,4.0,,4.0,,4.0,,4.0,,2.0,,5.0,,2.0,,4.0,,2.0,,2.0,,2.0,,4.0,,1.0,,2.0,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2022-09-30,76acef3c-d659-4fdd-b258-3668a1597584,2.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,3.0,1.0,3.0,2.0,2.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,5.0,4.0,3.0,3.0,4.0,4.0,2.0,3.0,5.0,4.0,3.0,3.0,4.0,3.0,4.0,3.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2022-09-30,7d501571-5d23-4f09-9266-1644f4f71add,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0,3.0,1.0,5.0,5.0,5.0,2.0,3.0,3.0,4.0,3.0,3.0,5.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2022-09-30,837ea159-60c6-4bde-b3ba-2c107844a9bb,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,3.0,4.0,3.0,1.0,1.0,1.0,4.0,1.0,2.0,1.0,3.0,4.0,1.0,3.0,1.0,4.0,1.0,1.0,2.0,3.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
