ParticipantIdentifier,datetime,trial_date,time,visits_gym_elapsedTime,visits_gym_startTime,visits_gym_distance,visits_home_elapsedTime,visits_home_startTime,visits_home_distance,visits_school_startTime,visits_school_elapsedTime,visits_school_distance,visits_unknown_startTime,visits_unknown_elapsedTime,visits_unknown_distance,visits_work_startTime,visits_work_elapsedTime,visits_work_distance
a01397bb-a8a5-4cd1-af6f-6ace410f125d,2022-10-23 13:00:00-04:00,2022-10-23,13:00:00,,,,,,,,,,2022-10-23 13:00:00-04:00,1800.0,15576.894018260207,,,
a01397bb-a8a5-4cd1-af6f-6ace410f125d,2022-10-20 16:00:00-04:00,2022-10-20,16:00:00,,,,86400.0,2022-10-20 16:00:00-04:00,0,,,,,,,,,
a01397bb-a8a5-4cd1-af6f-6ace410f125d,2022-10-21 19:15:00-04:00,2022-10-21,19:15:00,,,,70200.0,2022-10-21 19:15:00-04:00,0,,,,,,,,,
a01397bb-a8a5-4cd1-af6f-6ace410f125d,2022-10-22 16:15:00-04:00,2022-10-22,16:15:00,,,,72000.0,2022-10-22 16:15:00-04:00,0,,,,,,,,,
a01397bb-a8a5-4cd1-af6f-6ace410f125d,2022-10-22 14:45:00-04:00,2022-10-22,14:45:00,,,,,,,,,,2022-10-22 14:45:00-04:00,5400.0,571.7881445243421,,,
a01397bb-a8a5-4cd1-af6f-6ace410f125d,2022-10-20 12:30:00-04:00,2022-10-20,12:30:00,,,,,,,,,,,,,2022-10-20 12:30:00-04:00,9000.0,14162.756981929699
a01397bb-a8a5-4cd1-af6f-6ace410f125d,2022-10-21 16:45:00-04:00,2022-10-21,16:45:00,,,,,,,,,,,,,2022-10-21 16:45:00-04:00,5400.0,14162.756981929699
a01397bb-a8a5-4cd1-af6f-6ace410f125d,2022-10-20 12:30:00-04:00,2022-10-20,12:30:00,,,,,,,,,,,,,2022-10-20 12:30:00-04:00,9000.0,14162.756981929699
a01397bb-a8a5-4cd1-af6f-6ace410f125d,2022-10-21 16:45:00-04:00,2022-10-21,16:45:00,,,,,,,,,,,,,2022-10-21 16:45:00-04:00,5400.0,14162.756981929699
bf670311-c590-473a-98ab-d719ebf0f2ab,2022-10-21 14:00:00-04:00,2022-10-21,14:00:00,,,,61200.0,2022-10-21 14:00:00-04:00,0,,,,,,,,,
