SurveyReactionTimeResultKey,SurveyStepResultKey,SurveyResultKey,ParticipantIdentifier,ReactionTime,StartDate,EndDate
2dfb7054-e740-ed11-aac0-0afb9334277d,16fb7054-e740-ed11-aac0-0afb9334277d,e4fa7054-e740-ed11-aac0-0afb9334277d,25ca39d7-4279-48fd-903f-d0927adadb77,170881.31807012501,2022-09-30T13:43:04-04:00,2022-09-30T13:43:04-04:00
b9ce7273-e840-ed11-aac0-0afb9334277d,a5ce7273-e840-ed11-aac0-0afb9334277d,91ce7273-e840-ed11-aac0-0afb9334277d,d92cdaf1-cc3e-4408-bcdf-7be602cc5c3b,13607.830449916668,2022-09-30T13:50:38-04:00,2022-09-30T13:50:38-04:00
bdce7273-e840-ed11-aac0-0afb9334277d,a5ce7273-e840-ed11-aac0-0afb9334277d,91ce7273-e840-ed11-aac0-0afb9334277d,d92cdaf1-cc3e-4408-bcdf-7be602cc5c3b,13620.349400083334,2022-09-30T13:50:49-04:00,2022-09-30T13:50:49-04:00
c6ce7273-e840-ed11-aac0-0afb9334277d,a5ce7273-e840-ed11-aac0-0afb9334277d,91ce7273-e840-ed11-aac0-0afb9334277d,d92cdaf1-cc3e-4408-bcdf-7be602cc5c3b,13637.435062458335,2022-09-30T13:51:06-04:00,2022-09-30T13:51:06-04:00
7bfe29bb-e840-ed11-aac0-0afb9334277d,6bfe29bb-e840-ed11-aac0-0afb9334277d,5cfe29bb-e840-ed11-aac0-0afb9334277d,a01397bb-a8a5-4cd1-af6f-6ace410f125d,648635.76302270836,2022-09-30T13:52:49-04:00,2022-09-30T13:52:49-04:00
7cfe29bb-e840-ed11-aac0-0afb9334277d,6bfe29bb-e840-ed11-aac0-0afb9334277d,5cfe29bb-e840-ed11-aac0-0afb9334277d,a01397bb-a8a5-4cd1-af6f-6ace410f125d,648643.21081337507,2022-09-30T13:52:57-04:00,2022-09-30T13:52:57-04:00
7dfe29bb-e840-ed11-aac0-0afb9334277d,6bfe29bb-e840-ed11-aac0-0afb9334277d,5cfe29bb-e840-ed11-aac0-0afb9334277d,a01397bb-a8a5-4cd1-af6f-6ace410f125d,648654.40933433338,2022-09-30T13:53:08-04:00,2022-09-30T13:53:08-04:00
e5e6712e-ea40-ed11-aac0-0afb9334277d,bce6712e-ea40-ed11-aac0-0afb9334277d,a2e6712e-ea40-ed11-aac0-0afb9334277d,6e86c427-c679-4acd-aeb4-19ada9022b66,441851.02514937503,2022-09-30T14:02:59-04:00,2022-09-30T14:02:59-04:00
e6e6712e-ea40-ed11-aac0-0afb9334277d,bce6712e-ea40-ed11-aac0-0afb9334277d,a2e6712e-ea40-ed11-aac0-0afb9334277d,6e86c427-c679-4acd-aeb4-19ada9022b66,441858.53049229167,2022-09-30T14:03:07-04:00,2022-09-30T14:03:07-04:00
e7e6712e-ea40-ed11-aac0-0afb9334277d,bce6712e-ea40-ed11-aac0-0afb9334277d,a2e6712e-ea40-ed11-aac0-0afb9334277d,6e86c427-c679-4acd-aeb4-19ada9022b66,441869.70867554168,2022-09-30T14:03:18-04:00,2022-09-30T14:03:18-04:00
731dd1ae-c040-ed11-aac0-0afb9334277d,571dd1ae-c040-ed11-aac0-0afb9334277d,3d1dd1ae-c040-ed11-aac0-0afb9334277d,01801252-3a7e-4f5f-8b6d-49e8da3902f3,818837.20579050004,2022-09-30T14:06:08+01:00,2022-09-30T14:06:08+01:00
751dd1ae-c040-ed11-aac0-0afb9334277d,571dd1ae-c040-ed11-aac0-0afb9334277d,3d1dd1ae-c040-ed11-aac0-0afb9334277d,01801252-3a7e-4f5f-8b6d-49e8da3902f3,818844.90208887507,2022-09-30T14:06:16+01:00,2022-09-30T14:06:16+01:00
